Time	Viscous_Force	Pressure_Force
0.1	6.170789e-06	6.955712e-07
0.2	4.471791e-06	1.007527e-06
0.3	3.605783e-06	1.304046e-06
0.4	3.048879e-06	1.520647e-06
0.5	2.654235e-06	1.647871e-06
0.6	2.359927e-06	1.691050e-06
0.7	2.132551e-06	1.681056e-06
0.8	1.951533e-06	1.641895e-06
0.9	1.804359e-06	1.596388e-06
1	1.682388e-06	1.558212e-06
1.1	1.579244e-06	1.529652e-06
1.2	1.490175e-06	1.508820e-06
1.3	1.411492e-06	1.492635e-06
1.4	1.340835e-06	1.477287e-06
1.5	1.276606e-06	1.460073e-06
1.6	1.217790e-06	1.435932e-06
1.7	1.163671e-06	1.401636e-06
1.8	1.113918e-06	1.354223e-06
1.9	1.068679e-06	1.292679e-06
2	1.027960e-06	1.217547e-06
2.1	9.921442e-07	1.129465e-06
2.2	9.610014e-07	1.031423e-06
2.3	9.346471e-07	9.263173e-07
2.4	9.126248e-07	8.193357e-07
2.5	8.944974e-07	7.159147e-07
2.6	8.801276e-07	6.226251e-07
2.7	8.687942e-07	5.471944e-07
2.8	8.599141e-07	4.958372e-07
2.9	8.530211e-07	4.726583e-07
3	8.475181e-07	4.780011e-07
3.1	8.428895e-07	5.081414e-07
3.2	8.385292e-07	5.553610e-07
3.3	8.338659e-07	6.089839e-07
3.4	8.284976e-07	6.578700e-07
3.5	8.222416e-07	6.949221e-07
3.6	8.150450e-07	7.165889e-07
3.7	8.070200e-07	7.230352e-07
3.8	7.984554e-07	7.160336e-07
3.9	7.896668e-07	6.980798e-07
4	7.808992e-07	6.710636e-07
4.1	7.723599e-07	6.367327e-07
4.2	7.642504e-07	5.966748e-07
4.3	7.566294e-07	5.531334e-07
4.4	7.495825e-07	5.094653e-07
4.5	7.432102e-07	4.696076e-07
4.6	7.376352e-07	4.379608e-07
4.7	7.328702e-07	4.185780e-07
4.8	7.289031e-07	4.139856e-07
4.9	7.256321e-07	4.244696e-07
5	7.228375e-07	4.475340e-07
