# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.1           	((6.955712e-07 -5.568357e-08 -1.532234e-23) (6.170789e-06 1.438473e-07 -1.005085e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.392054e-09 1.738928e-08 7.342701e-09) (-3.596181e-09 1.542697e-07 -3.080863e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((1.007527e-06 -3.025663e-07 -1.661007e-23) (4.471791e-06 2.563064e-07 3.102446e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.564156e-09 2.518818e-08 1.612859e-10) (-6.407660e-09 1.117948e-07 -2.412770e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.3           	((1.304046e-06 -3.693145e-07 -1.764803e-23) (3.605783e-06 3.038322e-07 4.353562e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.232862e-09 3.260116e-08 5.251198e-09) (-7.595806e-09 9.014459e-08 -1.983887e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.4           	((1.520647e-06 -3.926222e-07 -1.799069e-23) (3.048879e-06 3.102542e-07 5.847376e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.815556e-09 3.801618e-08 1.497664e-08) (-7.756354e-09 7.622197e-08 -1.700379e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.5           	((1.647871e-06 -3.789027e-07 -1.766623e-23) (2.654235e-06 2.965947e-07 7.308545e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.472565e-09 4.119677e-08 2.974098e-08) (-7.414868e-09 6.635586e-08 -1.507372e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.6           	((1.691050e-06 -3.580089e-07 -1.694902e-23) (2.359927e-06 2.752900e-07 4.023278e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.950224e-09 4.227624e-08 4.755273e-08) (-6.882251e-09 5.899817e-08 -1.371016e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.7           	((1.681056e-06 -3.026722e-07 -1.624229e-23) (2.132551e-06 2.532683e-07 5.186948e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.566805e-09 4.202640e-08 6.962852e-08) (-6.331708e-09 5.331377e-08 -1.270026e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.8           	((1.641895e-06 -2.518206e-07 -1.568661e-23) (1.951533e-06 2.345926e-07 1.314843e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.295518e-09 4.104737e-08 9.266028e-08) (-5.864815e-09 4.878832e-08 -1.190938e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.9           	((1.596388e-06 -2.129908e-07 -1.526462e-23) (1.804359e-06 2.205592e-07 1.686499e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.324762e-09 3.990969e-08 1.151587e-07) (-5.513980e-09 4.510898e-08 -1.125877e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((1.558212e-06 -1.950595e-07 -1.489883e-23) (1.682388e-06 2.106152e-07 2.393334e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.876487e-09 3.895530e-08 1.350999e-07) (-5.265380e-09 4.205969e-08 -1.070366e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1.1           	((1.529652e-06 -1.885362e-07 -1.450126e-23) (1.579244e-06 2.038007e-07 4.111606e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.713406e-09 3.824130e-08 1.510229e-07) (-5.095019e-09 3.948110e-08 -1.021742e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1.2           	((1.508820e-06 -1.871061e-07 -1.400794e-23) (1.490175e-06 1.989770e-07 6.231936e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.677652e-09 3.772050e-08 1.611511e-07) (-4.974426e-09 3.725437e-08 -9.787422e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
1.3           	((1.492635e-06 -1.866657e-07 -1.341779e-23) (1.411492e-06 1.946995e-07 7.877178e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.666641e-09 3.731587e-08 1.643891e-07) (-4.867488e-09 3.528730e-08 -9.412444e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
1.4           	((1.477287e-06 -1.843587e-07 -1.276349e-23) (1.340835e-06 1.901458e-07 8.626731e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.608970e-09 3.693217e-08 1.605473e-07) (-4.753645e-09 3.352087e-08 -9.091026e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5           	((1.460073e-06 -1.818839e-07 -1.209062e-23) (1.276606e-06 1.844898e-07 8.737011e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.547096e-09 3.650183e-08 1.508481e-07) (-4.612245e-09 3.191515e-08 -8.820943e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
1.6           	((1.435932e-06 -1.800394e-07 -1.140300e-23) (1.217790e-06 1.772905e-07 8.637080e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.500984e-09 3.589831e-08 1.366464e-07) (-4.432263e-09 3.044476e-08 -8.595650e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
1.7           	((1.401636e-06 -1.752692e-07 -1.069425e-23) (1.163671e-06 1.678458e-07 8.061789e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.381730e-09 3.504091e-08 1.198523e-07) (-4.196144e-09 2.909179e-08 -8.409702e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
1.8           	((1.354223e-06 -1.698281e-07 -9.954244e-24) (1.113918e-06 1.563799e-07 7.026022e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.245703e-09 3.385557e-08 1.017097e-07) (-3.909498e-09 2.784795e-08 -8.253858e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
1.9           	((1.292679e-06 -1.627807e-07 -9.179972e-24) (1.068679e-06 1.431564e-07 5.908000e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.069518e-09 3.231697e-08 8.352403e-08) (-3.578909e-09 2.671697e-08 -8.119812e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
