# Region type : patch in
# Faces  :    1250
# Area   :    5.000000e-03
# Time        	areaAverage(U)
0             	(1.000000e-02 0.000000e+00 0.000000e+00)
0.1           	(9.745600e-02 -1.380011e-04 1.574464e-16)
0.2           	(9.751657e-02 -2.415770e-04 -1.094982e-15)
0.3           	(9.755507e-02 -3.927843e-04 4.447962e-16)
0.4           	(9.757283e-02 -6.284325e-04 -1.143325e-16)
0.5           	(9.757836e-02 -1.024877e-03 1.059900e-17)
0.6           	(9.757791e-02 -1.565995e-03 -2.767043e-17)
0.7           	(9.757358e-02 -2.194203e-03 -6.829507e-17)
0.8           	(9.756829e-02 -2.872005e-03 -5.616723e-18)
0.9           	(9.756293e-02 -3.572764e-03 3.669973e-17)
1             	(9.755926e-02 -4.256350e-03 1.412254e-16)
1.1           	(9.755998e-02 -4.836467e-03 9.544016e-17)
1.2           	(9.756719e-02 -5.191642e-03 4.625008e-17)
1.3           	(9.757910e-02 -5.233459e-03 2.360623e-17)
1.4           	(9.758932e-02 -4.975987e-03 3.806655e-17)
1.5           	(9.759341e-02 -4.506280e-03 -4.918918e-17)
1.6           	(9.759158e-02 -3.911267e-03 3.099464e-17)
1.7           	(9.758648e-02 -3.252054e-03 3.968196e-17)
1.8           	(9.757995e-02 -2.574051e-03 4.544841e-17)
1.9           	(9.757249e-02 -1.920629e-03 4.554983e-17)
2             	(9.756533e-02 -1.332113e-03 4.762706e-17)
2.1           	(9.755941e-02 -8.388626e-04 3.747585e-17)
2.2           	(9.755544e-02 -4.601054e-04 3.077450e-17)
2.3           	(9.755287e-02 -2.038709e-04 4.500162e-17)
2.4           	(9.755088e-02 -6.396609e-05 3.891039e-17)
2.5           	(9.754871e-02 -2.078774e-05 4.393216e-17)
2.6           	(9.754587e-02 -4.913052e-05 1.369783e-17)
2.7           	(9.754221e-02 -1.271452e-04 2.231043e-17)
2.8           	(9.753837e-02 -2.406064e-04 4.652175e-17)
2.9           	(9.753509e-02 -3.818363e-04 2.183706e-17)
3             	(9.753278e-02 -5.466206e-04 1.695856e-17)
3.1           	(9.753189e-02 -7.321002e-04 1.730349e-17)
3.2           	(9.753245e-02 -9.333147e-04 1.775090e-17)
3.3           	(9.753423e-02 -1.138679e-03 9.907977e-18)
3.4           	(9.753649e-02 -1.329060e-03 9.924726e-18)
3.5           	(9.753880e-02 -1.480228e-03 3.713778e-17)
3.6           	(9.754071e-02 -1.567023e-03 2.197668e-17)
3.7           	(9.754211e-02 -1.568060e-03 -9.555800e-18)
3.8           	(9.754275e-02 -1.471593e-03 2.176895e-17)
3.9           	(9.754271e-02 -1.281878e-03 4.617396e-18)
4             	(9.754191e-02 -1.022315e-03 3.240566e-17)
4.1           	(9.754028e-02 -7.318140e-04 8.942609e-18)
4.2           	(9.753801e-02 -4.556515e-04 1.510402e-17)
4.3           	(9.753571e-02 -2.346748e-04 -6.231611e-19)
4.4           	(9.753340e-02 -9.644809e-05 -1.826107e-18)
4.5           	(9.753140e-02 -5.089602e-05 4.004202e-18)
4.6           	(9.752971e-02 -9.136408e-05 1.462954e-17)
4.7           	(9.752840e-02 -2.000625e-04 6.500379e-18)
4.8           	(9.752755e-02 -3.546181e-04 8.290671e-18)
4.9           	(9.752726e-02 -5.329375e-04 1.088809e-17)
5             	(9.752747e-02 -7.151134e-04 1.223668e-17)
